page,text,confidence,bbox
1,Bank Statement Example.,0.9702048301696777,"[[608.0, 33.0], [1209.0, 36.0], [1209.0, 86.0], [608.0, 84.0]]"
1,Your Bank,0.9816691875457764,"[[145.0, 111.0], [664.0, 117.0], [663.0, 203.0], [144.0, 198.0]]"
1,Account name: Mr John Smith.,0.9832069277763367,"[[1155.0, 193.0], [1551.0, 193.0], [1551.0, 228.0], [1155.0, 228.0]]"
1,"16 High Street. Anytown, Anyshire Yz99 1XY",0.9917083978652954,"[[134.0, 221.0], [725.0, 221.0], [725.0, 264.0], [134.0, 264.0]]"
1,Account Type: Checking,0.9998770356178284,"[[1153.0, 228.0], [1477.0, 228.0], [1477.0, 261.0], [1153.0, 261.0]]"
1,Account number: 99988877,0.9938161373138428,"[[1155.0, 264.0], [1518.0, 264.0], [1518.0, 297.0], [1155.0, 297.0]]"
1,Mr John Smith,0.9996116161346436,"[[137.0, 297.0], [312.0, 297.0], [312.0, 325.0], [137.0, 325.0]]"
1,5 Any Road,0.9969798922538757,"[[134.0, 330.0], [279.0, 330.0], [279.0, 358.0], [134.0, 358.0]]"
1,Your current account statement:.,0.9752669334411621,"[[1158.0, 330.0], [1599.0, 330.0], [1599.0, 363.0], [1158.0, 363.0]]"
1,Randomford,0.9993647336959839,"[[134.0, 366.0], [286.0, 366.0], [286.0, 393.0], [134.0, 393.0]]"
1,"1 February to 1 March, 2019",0.9964043498039246,"[[1158.0, 363.0], [1533.0, 363.0], [1533.0, 399.0], [1158.0, 399.0]]"
1,Anyshire,0.9998355507850647,"[[132.0, 396.0], [248.0, 396.0], [248.0, 432.0], [132.0, 432.0]]"
1,YZ985XY,0.9967008829116821,"[[130.0, 423.0], [254.0, 430.0], [252.0, 465.0], [129.0, 459.0]]"
1,Page 1 of1,0.9941088557243347,"[[1520.0, 462.0], [1665.0, 462.0], [1665.0, 498.0], [1520.0, 498.0]]"
1,Your account summary,0.9991310238838196,"[[183.0, 693.0], [537.0, 698.0], [537.0, 734.0], [182.0, 728.0]]"
1,"Balance at 1 February: 40,000,00",0.973028302192688,"[[180.0, 810.0], [654.0, 807.0], [654.0, 850.0], [180.0, 853.0]]"
1,"Total moneyin: 5,474.00",0.9811578989028931,"[[258.0, 868.0], [611.0, 868.0], [611.0, 904.0], [258.0, 904.0]]"
1,"Total money out: 1,395.17",0.9670207500457764,"[[258.0, 914.0], [621.0, 914.0], [621.0, 949.0], [258.0, 949.0]]"
1,Balance at1 March: 44.079.83,0.984980583190918,"[[190.0, 954.0], [682.0, 954.0], [682.0, 987.0], [190.0, 987.0]]"
1,Money,0.9991645812988281,"[[1175.0, 1058.0], [1306.0, 1064.0], [1303.0, 1110.0], [1173.0, 1104.0]]"
1,Money,0.9990905523300171,"[[1366.0, 1055.0], [1491.0, 1065.0], [1488.0, 1110.0], [1362.0, 1101.0]]"
1,Date,0.9988881349563599,"[[198.0, 1084.0], [271.0, 1084.0], [271.0, 1125.0], [198.0, 1125.0]]"
1,Description,0.9990461468696594,"[[641.0, 1079.0], [839.0, 1079.0], [839.0, 1122.0], [641.0, 1122.0]]"
1,Balance,0.9990432858467102,"[[1536.0, 1086.0], [1660.0, 1086.0], [1660.0, 1125.0], [1536.0, 1125.0]]"
1,out,0.9946606755256653,"[[1204.0, 1107.0], [1270.0, 1107.0], [1270.0, 1137.0], [1204.0, 1137.0]]"
1,In,0.9926260709762573,"[[1399.0, 1102.0], [1452.0, 1102.0], [1452.0, 1142.0], [1399.0, 1142.0]]"
1,Balance brought forward,0.9999434351921082,"[[345.0, 1170.0], [712.0, 1170.0], [712.0, 1206.0], [345.0, 1206.0]]"
1,"40,000.00",0.9995896816253662,"[[1531.0, 1168.0], [1655.0, 1168.0], [1655.0, 1206.0], [1531.0, 1206.0]]"
1,1 February,0.9891366958618164,"[[150.0, 1223.0], [312.0, 1229.0], [311.0, 1265.0], [149.0, 1259.0]]"
1,Cardpayment - High St Petrol Station,0.9849236607551575,"[[350.0, 1224.0], [788.0, 1224.0], [788.0, 1257.0], [350.0, 1257.0]]"
1,24.50,0.9999249577522278,"[[1181.0, 1218.0], [1262.0, 1218.0], [1262.0, 1254.0], [1181.0, 1254.0]]"
1,"39,975.50",0.999561071395874,"[[1531.0, 1221.0], [1647.0, 1221.0], [1647.0, 1257.0], [1531.0, 1257.0]]"
1,Direct debit - Green Mobile Phone Bill,0.9902003407478333,"[[350.0, 1264.0], [791.0, 1264.0], [791.0, 1297.0], [350.0, 1297.0]]"
1,20.00,0.9998011589050293,"[[1181.0, 1262.0], [1259.0, 1262.0], [1259.0, 1300.0], [1181.0, 1300.0]]"
1,"39,955.50",0.9998591542243958,"[[1533.0, 1264.0], [1665.0, 1264.0], [1665.0, 1300.0], [1533.0, 1300.0]]"
1,3 February,0.9993650317192078,"[[148.0, 1325.0], [307.0, 1331.0], [306.0, 1366.0], [147.0, 1360.0]]"
1,30.00,0.9998787045478821,"[[1186.0, 1320.0], [1264.0, 1320.0], [1264.0, 1356.0], [1186.0, 1356.0]]"
1,"39,925.50",0.999889075756073,"[[1536.0, 1318.0], [1665.0, 1318.0], [1665.0, 1353.0], [1536.0, 1353.0]]"
1,"Cash Withdrawal - YourBank, Anytown",0.9904102683067322,"[[350.0, 1328.0], [821.0, 1330.0], [821.0, 1366.0], [350.0, 1363.0]]"
1,"High Street, timed 17:30 31 Jan",0.9950575232505798,"[[355.0, 1368.0], [737.0, 1371.0], [737.0, 1406.0], [355.0, 1404.0]]"
1, 4 February,0.9598277807235718,"[[148.0, 1401.0], [307.0, 1409.0], [305.0, 1445.0], [146.0, 1436.0]]"
1,"2,575.00",0.99983811378479,"[[1373.0, 1396.0], [1485.0, 1396.0], [1485.0, 1432.0], [1373.0, 1432.0]]"
1,YourJob BiWeekly Payment,0.9995107054710388,"[[352.0, 1411.0], [689.0, 1411.0], [689.0, 1444.0], [352.0, 1444.0]]"
1,"42,500.50",0.9995285868644714,"[[1533.0, 1406.0], [1662.0, 1406.0], [1662.0, 1447.0], [1533.0, 1447.0]]"
1,11 February,0.9998014569282532,"[[150.0, 1462.0], [325.0, 1468.0], [324.0, 1503.0], [149.0, 1497.0]]"
1,"Direct Deposit - YourBank, Anytown High",0.99252849817276,"[[347.0, 1465.0], [839.0, 1465.0], [839.0, 1500.0], [347.0, 1500.0]]"
