transactions
amount,balance,date,description,record_identifier
0.9,12282.86,25/01/2019,Charges NEFT MAHBH19025259544 GST,
42480.0,54762.86,29/01/2019,Cheque BY CLG,608682.0
30000.0,24762.86,30/01/2019,Cheque SELF,59043.0
9009.0,15753.86,01/02/2019,Cheque SUPREME STEELS,59042.0
5000.0,10753.86,07/02/2019,Cheque SELF,59044.0
5000.0,5753.86,12/02/2019,Cheque SELF,59045.0
250.0,5503.86,17/02/2019,Charges ISSUE OF MICR CA,
45.0,5458.86,17/02/2019,Charges GST,
23128.0,28586.86,21/02/2019,Cheque BY CLG,809951.0
5000.0,23586.86,25/02/2019,Cheque LOVEKESH SAIN,59046.0
4925.0,18661.86,25/02/2019,Cheque NEFT MAHBH19056058615 GST,59049.0
2.0,18659.86,25/02/2019,Charges NEFT MAHBH19056058615 GST,
0.36,,25/02/2019,Charges NEFT MAHBH19056058615 GST,
10000.0,8659.5,27/02/2019,Cheque DK ELECTRIC TOOLS AND H,59047.0
2113.0,6546.5,27/02/2019,Cheque dhbvnl,59048.0
3000.0,,01/03/2019,Cheque SELF,59050.0
119357.0,122903.5,15/03/2019,Cheque BEST KOKI AUTOMOTIVE PVT LTD,2694.0
110000.0,12903.5,16/03/2019,Cheque SELF,63952.0
10971.0,1932.5,19/03/2019,Cheque SUPREME STEELS,63954.0
51476.0,53408.5,26/03/2019,Cheque BY CLG,3618.0
1244.0,52164.5,27/03/2019,Cheque DHBVNL,63958.0
5000.0,47164.5,27/03/2019,Cheque SELF,63960.0
10722.0,,27/03/2019,Cheque NEFT MAHBH19086004478 GST,63961.0
5.0,36437.5,27/03/2019,Charges NEFT MAHBH19086004478 GST,
0.9,36436.6,27/03/2019,Charges NEFT MAHBH19086004478 GST,
